1136+1551  13-Jun-14   90000.00   56821.37500000000             4.840738  0.948 -9.103
    757463474.698330    0.841812442909   jb  300   12   327.000                
  9.03029940663801352e-10 -4.93309608069333883e-03  7.76259142609126858e-08
 -9.28484897710612497e-11 -1.20633895926165035e-13  9.45205389822780669e-17
  6.54208814612551699e-20 -4.70878236879138686e-22  4.44335154381288000e-25
  1.40855047859200954e-26 -7.06489188142828103e-30 -1.65823593125474583e-31
1136+1551  13-Jun-14  140000.00   56821.58333333330             4.840738  0.946 -9.054
    757478625.846135    0.841812442909   jb  300   12   327.000                
 -7.35661515380242673e-10 -4.92014476423253272e-03 -4.02536952976439396e-08
 -1.30309707680011358e-10  6.75294225572186976e-14  1.16721149542220828e-16
 -3.97926564094198214e-20  5.11989809497639509e-22 -6.82564454032150895e-25
 -1.83843024803141920e-26  1.70529366558858397e-29  2.23007827707485694e-31
1136+1551  13-Jun-14  190000.00   56821.79166666660             4.840738  0.955 -9.265
    757493776.987726    0.841812442909   jb  300   12   327.000                
  3.95257673652797635e-11 -4.96803934812748219e-03 -9.51778351246062400e-08
  2.63714326294684563e-11  1.55209188560181233e-13 -2.23552119443951113e-17
 -1.01155232295083876e-19 -1.73063908105491680e-22  1.45407342509277660e-25
  5.21382691976447229e-27 -2.02905104075203323e-30 -4.97544462100739669e-32
1136+1551  14-Jun-14       0.00   56822.00000000000             4.840739  0.962 -9.062
    757508928.114566    0.841812442909   jb  300   12   327.000                
  1.01463278618493389e-09 -5.00360866817334705e-03 -5.21543424147252079e-09
  1.43989205395933967e-10  1.13127348219465847e-14 -1.34384975800863614e-16
  3.64573351764909247e-20 -3.31050523978546285e-22 -1.57601666418043834e-24
  1.81752360936516019e-26  2.06347743387276559e-29 -2.93717011237200830e-31
1136+1551  14-Jun-14   50000.00   56822.20833333330             4.840739  0.956 -9.252
    757524079.240641    0.841812442909   jb  300   12   327.000                
  2.36592698068419056e-11 -4.97195673306916833e-03  9.57840074511435962e-08
  4.72788003154487218e-11 -1.49470619878879819e-13 -4.47498509707407025e-17
  1.18133848080869663e-19  9.81766902418092442e-23 -6.87801014577610919e-25
 -6.55378948886706668e-27  6.33569416162054939e-30  1.37469474281764553e-31
1136+1551  14-Jun-14   90000.00   56822.37500000000             4.840739  0.947 -9.078
    757536200.152211    0.841812442909   jb  300   12   327.000                
 -3.38174057564367693e-10 -4.92633575455839884e-03  7.69433156669594674e-08
 -9.47056942053578081e-11 -1.18805348558224664e-13  9.13392995068762186e-17
  5.72622923041900677e-20 -1.33476537719757816e-22  7.08870364331363624e-25
  4.54317822436331683e-27 -9.65928463948994255e-30 -7.53698387383181648e-32
1136+1551  14-Jun-14  140000.00   56822.58333333330             4.840739  0.945 -9.138
    757551351.301949    0.841812442909   jb  300   12   327.000                
  6.17476337677563513e-10 -4.91405798596497578e-03 -4.13602621188710605e-08
 -1.29288821407846996e-10  6.99154994595041594e-14  1.24511428452858816e-16
 -4.89939025957922382e-20 -1.10412839686384457e-22  2.88615691187274727e-25
  1.98728358970945655e-27 -5.96706802477194152e-30 -2.83416824546171881e-32
1136+1551  14-Jun-14  190000.00   56822.79166666660             4.840739  0.954 -9.036
    757566502.445312    0.841812442909   jb  300   12   327.000                
 -2.49326159157436333e-09 -4.96212226155123663e-03 -9.44275901076557157e-08
  2.88430567739815325e-11  1.54624701539159703e-13 -3.20457063261016897e-17
 -9.53171041809835941e-20  4.13779843699570287e-22  1.20073443672564980e-26
 -1.48317092254251993e-26 -9.63698361095494327e-31  2.00088131924918533e-31
1136+1551  15-Jun-14       0.00   56823.00000000000             4.840739  0.961 -9.148
    757581653.574052    0.841812442909   jb  300   12   327.000                
 -4.24084422331009328e-10 -4.99672260792418006e-03 -3.09406896063930987e-09
  1.44139054846387814e-10  9.64452678475531304e-15 -1.37303264938922209e-16
 -5.71180804276234282e-20  8.35388375047655198e-23  2.33961085138762451e-24
 -1.91849767597432162e-27 -3.87204240053799646e-29  3.38098740850772061e-32
1136+1551  15-Jun-14   50000.00   56823.20833333330             4.840740  0.955 -8.979
    757596804.702367    0.841812442909   jb  300   12   327.000                
 -1.81030012050072423e-09 -4.96402552787190369e-03  9.67512749407058761e-08
